01:Agricultura,ganadería, caza, silvicultura y pesca
02:Minería 
03:Industria manufacturera
04:Construcción
05:Comercio y reparación de vehículos automotores y motocicletas
06:Transporte y almacenamiento
07:Alojamiento y servicios de comida
08:Información y comunicaciones
09:Actividades inmobiliarias, profesionales y servicios administrativos 
10:Educación
11:Actividades de atención a la salud humana y de asistencia social
12:Actividades artísticas, de entretenimiento, de recreación y otras actividades de servicios
