DIRECTORIO,SECUENCIA_PH,SECUENCIA_P,SECUENCIA_ENCUESTA,TIPO,P3077,P3078,P3079,P3080,P3081,P3082,P3083,P3084,P2990,P3085,P3099,CLASE_TE,COD_DEPTO,AREA,F_EXP
7278187,1,1,1,2,,2,,3,145000,,,2,2,420,53,1,15,15,5.55353282663337
7278187,1,1,1,3,,2,,2,,,,2,2,72,30,1,15,15,5.55353282663337
7278187,1,1,2,3,,1,,2,,,,2,2,60,20,1,15,15,5.55353282663337
7278213,1,1,1,2,,1,,2,,,,2,2,6,35,1,15,15,10.0071808686179
7278217,1,1,2,1,1,1,1160000,1,330600,2,,1,1,2,27,1,15,15,11.5362047860867
7278217,1,1,1,1,1,1,1160000,1,330600,2,,1,2,6,28,1,15,15,11.5362047860867
7278217,1,2,3,1,1,2,1160000,1,330600,2,,1,1,9,33,1,15,15,11.5362047860867
7278217,1,2,1,1,1,1,1160000,1,330600,2,,1,1,2,40,1,15,15,11.5362047860867
7278217,1,2,2,1,1,1,1160000,1,330600,2,,1,1,10,30,1,15,15,11.5362047860867
7278272,1,1,2,2,,1,,2,,,,2,2,6,49,1,17,17,20.0202970869945
7278272,1,1,1,2,,1,,2,,,,2,2,6,50,1,17,17,20.0202970869945
7278300,1,1,2,1,2,1,0,2,,2,,2,2,8,99,1,17,17,16.9124192148294
7278300,1,1,1,1,2,1,0,2,,2,,2,2,6,99,1,17,17,16.9124192148294
7278330,1,1,1,2,,1,,2,,,,2,2,180,45,1,17,17,15.7959177047003
7278391,1,2,1,3,,1,,2,,,,2,2,72,50,1,17,17,16.7826792549621
7278489,1,1,1,2,,1,,2,,,,2,2,360,53,1,17,17,29.0748756264545
7278545,1,1,1,3,,2,,2,,,,2,2,360,50,1,18,18,6.44010549185223
7278545,1,2,1,3,,1,,2,,,,2,2,360,40,1,18,18,6.44010549185223
7278582,1,1,1,1,1,1,1200000,1,192000,1,1000000,1,1,29,38,1,18,18,7.29774003454343
7278582,1,1,2,1,2,1,1200000,1,192000,1,1000000,1,1,40,32,1,18,18,7.29774003454343
7278682,1,1,1,3,,1,,2,,,,2,2,25,69,1,19,19,7.88045276780918
7278682,1,1,2,3,,2,,2,,,,2,2,25,68,1,19,19,7.88045276780918
7278695,1,1,2,1,2,1,1160000,2,,2,,2,2,24,25,1,19,19,9.37247776241534
7278695,1,1,1,1,2,1,1160000,2,,2,,2,2,36,30,1,19,19,9.37247776241534
7278695,1,1,3,1,2,1,1160000,2,,2,,2,2,24,18,1,19,19,9.37247776241534
7278707,1,1,1,3,,1,,2,,,,2,2,60,20,1,19,19,15.7581030583147
7278741,1,1,2,1,2,2,600000,2,,2,,2,2,2,40,1,19,19,8.71337911385097
7278741,1,1,1,1,2,2,600000,2,,2,,2,2,2,25,1,19,19,8.71337911385097
7278741,1,1,3,1,2,2,600000,2,,2,,2,2,2,60,1,19,19,8.71337911385097
7278774,1,1,1,1,2,1,1160000,2,,2,,2,2,24,36,1,19,19,14.4566585122324
7278793,1,1,2,1,2,1,650000,2,,2,,2,2,24,26,1,19,19,12.0230242495849
7278793,1,1,1,1,2,1,650000,2,,2,,2,2,48,34,1,19,19,12.0230242495849
7278829,1,1,2,3,,1,,2,,,,2,2,60,17,1,19,19,8.98070257515027
7278829,1,1,1,3,,2,,2,,,,2,2,240,49,1,19,19,8.98070257515027
7278838,1,4,1,3,,2,,2,,,,2,2,18,59,1,20,20,16.2365461490298
7278870,1,2,1,2,,1,,2,,,,2,2,36,42,1,20,20,24.3570346884085
7278884,1,1,1,2,,2,,2,,,,2,2,12,21,1,20,20,16.178280170504
7278906,1,1,1,1,2,1,600000,2,,2,,2,2,36,28,1,20,20,24.3791798677299
7278907,1,1,2,3,,1,,2,,,,2,2,8,17,1,20,20,23.4808061223284
7278907,1,1,1,2,,1,,2,,,,2,2,132,42,1,20,20,23.4808061223284
7278907,1,1,1,3,,2,,2,,,,2,2,24,20,1,20,20,23.4808061223284
7278913,1,1,1,1,2,2,0,2,,2,,2,2,48,32,1,20,20,10.0594397559003
7278913,1,1,2,1,2,2,0,2,,2,,2,2,48,20,1,20,20,10.0594397559003
7278914,1,1,1,2,,2,,2,,,,2,2,18,29,1,20,20,17.4786550056669
7278914,1,1,2,1,2,2,900000,2,,2,,2,2,18,33,1,20,20,17.4786550056669
7278914,1,1,1,1,2,2,900000,2,,2,,2,2,18,28,1,20,20,17.4786550056669
7278918,1,2,1,1,2,1,100000,2,,2,,2,2,36,27,1,20,20,23.7709737165771
7278930,1,1,1,1,2,1,500000,2,,2,,2,2,60,35,1,20,20,26.7187394008191
