DIRECTORIO,SECUENCIA_PH,SECUENCIA_P,SECUENCIA_ENCUESTA,TIPO,P3077,P3078,P3079,P3080,P3081,P3082,P3083,P3084,P2990,P3085,P3099,CLASE_TE,COD_DEPTO,AREA,F_EXP
7319849,1,1,3,1,1,2,1300000,1,272647,1,1850666,1,2,12,34,1,54,54,43.1745684969782
7319849,1,1,7,1,1,1,1300000,1,272647,2,,1,2,6,50,1,54,54,43.1745684969782
7319849,1,1,6,1,1,1,1300000,1,272647,1,1850666,1,2,12,35,1,54,54,43.1745684969782
7319849,1,1,5,1,1,1,1300000,1,272647,1,1850666,1,2,48,22,1,54,54,43.1745684969782
7319849,1,1,4,1,1,2,1300000,1,272647,2,,2,2,1,30,1,54,54,43.1745684969782
7319849,1,1,1,1,1,2,1300000,1,272647,1,1850666,1,2,180,38,1,54,54,43.1745684969782
7319902,1,1,2,1,1,1,1160000,1,237000,1,3000000,1,1,36,28,1,54,54,31.5881639721218
7319902,1,1,1,2,,2,,1,336700,,,1,1,96,48,1,54,54,31.5881639721218
7319902,1,1,3,1,1,2,1160000,1,237000,1,1850666,1,1,24,45,1,54,54,31.5881639721218
7319902,1,1,1,1,1,1,1160000,1,237000,1,3000000,1,1,72,32,1,54,54,31.5881639721218
7319999,1,1,1,3,,2,,2,,,,2,2,216,49,1,63,63,6.80762559508285
7320001,1,4,1,2,,1,,2,,,,2,2,36,21,1,63,63,9.5615584695546
7320025,1,1,1,3,,2,,2,,,,2,2,2,35,1,63,63,11.853638353491
7320081,1,2,1,1,1,2,1040000,2,,2,,2,2,60,54,1,63,63,13.3782181562866
7320081,1,2,2,1,1,2,1040000,2,,2,,2,2,84,61,1,63,63,13.3782181562866
7320081,1,2,4,1,1,2,1040000,2,,2,,2,2,36,48,1,63,63,13.3782181562866
7320081,1,2,3,1,1,2,1040000,2,,2,,2,2,48,52,1,63,63,13.3782181562866
7320101,1,1,1,2,,1,,2,,,,2,2,420,50,1,63,63,16.0538617875439
7320122,1,1,2,1,1,1,1097750,1,322387,1,745000,1,2,48,50,1,63,63,16.5815849865422
7320122,1,1,1,1,1,1,1097750,1,322387,1,745000,1,2,60,55,1,63,63,16.5815849865422
7320122,1,1,3,1,1,1,1097750,1,322387,1,745000,1,1,36,45,1,63,63,16.5815849865422
7320134,1,2,1,3,,2,,2,,,,2,2,60,57,1,63,63,15.0562136718965
7320135,1,1,1,1,2,1,900000,2,,2,,2,2,26,29,1,63,63,10.8635016249604
7320141,1,2,4,1,1,1,1300000,2,,2,,2,2,24,40,1,63,63,21.4795307737767
7320141,1,2,3,1,1,1,1300000,2,,2,,2,2,36,37,1,63,63,21.4795307737767
7320141,1,2,2,1,1,1,1300000,2,,2,,2,2,48,33,1,63,63,21.4795307737767
7320141,1,2,1,1,1,1,1800000,2,,2,,2,2,60,40,1,63,63,21.4795307737767
7320149,1,1,2,1,1,1,1000000,2,,2,,2,2,65,50,1,66,66,10.2656125972186
7320149,1,1,1,1,1,1,1000000,2,,2,,2,2,90,55,1,66,66,10.2656125972186
7320177,1,1,1,2,,1,,2,,,,2,2,18,50,1,66,66,15.6697304412454
7320226,1,1,1,1,2,1,900000,2,,2,,2,2,24,45,1,66,66,13.1790985705561
7320298,1,2,1,3,,2,,2,,,,2,2,13,22,1,68,68,26.4903730560543
7320490,1,2,1,3,,2,,2,,,,2,2,18,25,1,70,70,14.4552599580668
7320514,1,1,1,3,,2,,2,,,,2,2,96,40,1,70,70,11.9595923007292
7320529,1,1,2,3,,2,,2,,,,2,2,24,16,1,73,73,19.8418177483234
7320529,1,1,1,3,,2,,2,,,,2,2,48,43,1,73,73,19.8418177483234
7320572,1,1,1,3,,2,,2,,,,2,2,240,65,1,73,73,32.3452849494827
7320580,1,1,1,1,2,1,1300000,1,237800,2,,1,1,8,35,1,73,73,35.7612652057788
7320580,1,1,2,1,2,1,1300000,1,237800,1,350000,1,1,12,24,1,73,73,35.7612652057788
7320593,1,1,2,1,2,1,1000000,3,145000,2,,1,2,2,20,1,73,73,50.3294318874414
7320593,1,1,1,1,2,1,1000000,3,145000,2,,1,2,2,23,1,73,73,50.3294318874414
7320672,1,2,1,2,,1,,2,,,,2,2,36,39,1,76,76,48.4658832056574
7320699,1,1,4,1,2,1,900000,2,,2,,2,2,12,22,1,76,76,98.0649929283741
7320699,1,1,1,2,,1,,2,,,,2,2,48,40,1,76,76,98.0649929283741
7320699,1,1,1,1,2,1,855000,2,,2,,2,2,12,54,1,76,76,98.0649929283741
7320699,1,1,2,1,2,1,675000,2,,2,,2,2,12,70,1,76,76,98.0649929283741
7320699,1,1,3,1,2,2,900000,2,,2,,2,2,12,24,1,76,76,98.0649929283741
7320703,1,1,2,1,2,2,1040000,2,,2,,2,2,17,28,1,76,76,110.633350727512
7320703,1,1,4,1,2,2,1040000,2,,2,,2,2,16,26,1,76,76,110.633350727512
7320703,1,1,1,1,2,2,1040000,2,,2,,2,2,15,29,1,76,76,110.633350727512
7320703,1,1,3,1,2,2,1040000,2,,2,,2,2,20,43,1,76,76,110.633350727512
7320703,1,1,1,2,,1,,2,,,,2,2,84,40,1,76,76,110.633350727512
7320703,1,2,1,1,2,2,350000,2,,2,,2,2,7,25,1,76,76,110.633350727512
7320717,1,1,2,1,2,1,1200000,2,,2,,2,2,12,35,1,76,76,85.645409952075
7320717,1,1,3,1,2,1,1200000,2,,2,,2,2,24,27,1,76,76,85.645409952075
7320717,1,1,1,1,2,1,1800000,2,,2,,2,2,24,30,1,76,76,85.645409952075
7320722,1,1,1,3,,2,,2,,,,2,2,40,19,1,76,76,16.5618964090847
7320791,1,1,3,1,2,1,1300000,2,,2,,2,2,3,27,1,76,76,30.6949382828791
7320791,1,1,1,1,2,1,1300000,2,,2,,2,2,4,30,1,76,76,30.6949382828791
7320791,1,1,2,1,2,1,1300000,2,,2,,2,2,5,31,1,76,76,30.6949382828791
7320854,1,1,1,1,2,1,1172000,1,275580,1,239060,1,1,60,34,1,76,76,170.535454429367
7320931,1,1,1,3,,2,,2,,,,2,1,480,68,1,88,88,3.47622619498083
7320931,1,1,1,1,1,2,1200000,1,222000,1,1200000,1,1,120,50,1,88,88,3.47622619498083
7320931,1,1,2,1,1,2,1200000,1,222000,1,1200000,1,1,120,38,1,88,88,3.47622619498083
7320931,1,1,3,1,1,2,1200000,1,222000,1,1200000,1,1,18,34,1,88,88,3.47622619498083
7320938,1,1,1,2,,1,,2,,,,2,2,500,75,1,88,88,1.86029079278474
7320938,1,1,1,1,1,2,1160000,1,214600,1,1160000,1,1,60,40,1,88,88,1.86029079278474
7320938,1,1,3,1,1,2,1160000,1,214600,1,1160000,1,1,240,46,1,88,88,1.86029079278474
7320938,1,1,4,1,1,2,1800000,1,245000,1,1800000,1,1,240,50,1,88,88,1.86029079278474
7320938,1,1,2,1,1,2,1160000,1,214600,1,1160000,1,1,240,46,1,88,88,1.86029079278474
7320943,1,1,1,2,,2,,2,,,,2,2,120,56,1,88,88,1.86029079278474
7320944,1,1,1,1,1,1,1200000,1,250000,1,600000,1,2,96,50,1,88,88,2.41837803062015
7320944,1,1,2,1,1,1,1200000,1,250000,1,600000,2,2,60,40,1,88,88,2.41837803062015
7320946,1,1,1,1,1,1,1300000,1,220000,1,1009130,2,2,7,30,1,88,88,2.52076376352536
7320946,1,1,2,1,1,2,1300000,1,220000,1,1009130,2,2,24,25,1,88,88,2.52076376352536
7320955,1,1,1,1,2,2,2000000,2,,2,,2,2,12,40,1,88,88,1.93904904886566
7321107,1,1,1,3,,1,,2,,,,2,2,36,33,2,13,"",10.9206904784299
7321107,1,1,2,3,,1,,2,,,,2,2,60,66,2,13,"",10.9206904784299
7321126,1,1,1,3,,2,,2,,,,2,2,36,25,1,44,"",55.2794977188852
7321188,1,1,1,1,1,2,1000000,2,,2,,2,2,999,999,2,68,"",118.544290910253
7321188,1,1,1,2,,2,,2,,,,2,2,120,999,2,68,"",118.544290910253
7321188,1,1,2,1,1,2,1000000,2,,2,,2,2,999,999,2,68,"",118.544290910253
7321191,1,1,1,1,2,1,1200000,2,,2,,2,2,36,36,2,68,"",89.4213018838374
7321271,1,1,1,1,2,1,800000,2,,2,,2,2,200,28,2,66,"",41.1838036084052
7321271,1,1,2,1,2,1,800000,2,,2,,2,2,500,58,2,66,"",41.1838036084052
7321289,1,1,1,1,2,1,432000,2,,2,,2,2,24,18,2,05,"",83.7217758863253
7321304,1,1,2,1,2,2,1000000,2,,2,,2,2,10,28,1,05,"",320.096366892793
7321304,1,1,1,1,2,2,1000000,2,,2,,2,2,8,34,1,05,"",320.096366892793
7321367,1,1,1,1,1,1,1200000,1,250000,2,,1,2,24,42,1,05,"",15.3244633268116
7321367,1,1,2,1,1,2,1200000,1,250000,2,,1,1,24,31,1,05,"",15.3244633268116
7321381,1,1,1,1,2,1,1194612,1,264093,1,1454778,1,1,60,34,1,05,"",10.6102853152095
7321386,1,2,2,3,,2,,2,,,,2,2,84,50,1,05,"",11.9904263222857
7321386,1,2,1,3,,2,,2,,,,2,2,84,30,1,05,"",11.9904263222857
7321427,1,1,1,2,,2,,1,330900,,,2,2,48,25,1,08,08,147.845426680106
7321531,1,1,1,2,,2,,2,,,,2,2,240,67,1,15,15,6.79494350797212
7321542,1,1,1,3,,2,,2,,,,2,2,120,55,1,15,15,5.10058767978565
7321542,1,1,2,3,,1,,2,,,,2,2,36,24,1,15,15,5.10058767978565
7321544,1,1,1,2,,1,,2,,,,2,2,72,52,1,15,15,7.49216131191186
7321603,1,1,2,3,,1,,2,,,,2,2,49,22,1,18,18,9.37032893413214
7321603,1,1,1,3,,1,,2,,,,2,2,48,24,1,18,18,9.37032893413214
7321624,1,2,1,2,,1,,2,,,,2,2,300,72,1,19,19,12.5598439926944
7321624,1,2,1,1,2,2,500000,2,,2,,2,2,60,48,1,19,19,12.5598439926944
7321628,1,1,1,1,2,1,600000,2,,2,,2,2,18,27,1,19,19,20.9456132328715
7321635,1,1,1,1,2,2,600000,2,,2,,2,2,24,27,1,19,19,11.6746138575028
7321635,1,1,2,1,2,2,600000,2,,2,,2,2,6,21,1,19,19,11.6746138575028
7321639,1,1,1,3,,2,,2,,,,2,2,90,34,1,20,20,34.1938074857613
7321639,1,1,3,3,,2,,2,,,,2,2,90,15,1,20,20,34.1938074857613
7321639,1,1,4,3,,1,,2,,,,2,2,90,16,1,20,20,34.1938074857613
7321639,1,1,2,3,,2,,2,,,,2,2,90,12,1,20,20,34.1938074857613
7321645,1,2,2,1,2,1,960000,2,,2,,2,2,12,23,1,20,20,20.872899337459
7321645,1,2,1,1,2,1,960000,2,,2,,2,2,12,36,1,20,20,20.872899337459
7321666,1,1,2,1,1,1,0,2,,2,,2,2,60,35,1,23,23,14.797001952588
7321666,1,1,4,1,1,1,0,2,,2,,2,2,96,34,1,23,23,14.797001952588
7321666,1,1,1,1,1,1,0,2,,2,,2,2,60,30,1,23,23,14.797001952588
7321666,1,1,3,1,1,1,0,2,,2,,2,2,48,26,1,23,23,14.797001952588
7321701,1,1,1,1,1,1,400000,2,,2,,2,2,120,44,1,27,27,1.81271334755366
7321701,1,1,1,3,,1,,2,,,,2,2,80,31,1,27,27,1.81271334755366
7321737,1,1,2,1,2,2,1200000,2,,2,,2,2,24,36,1,41,41,14.4977221508282
7321737,1,1,3,1,2,2,1200000,2,,2,,2,2,24,24,1,41,41,14.4977221508282
7321737,1,1,1,3,,2,,2,,,,2,2,156,52,1,41,41,14.4977221508282
7321737,1,1,1,1,2,2,1200000,2,,2,,2,2,24,40,1,41,41,14.4977221508282
7321737,1,1,4,1,2,1,1200000,2,,2,,2,2,24,26,1,41,41,14.4977221508282
7321745,1,1,1,1,2,1,600000,2,,2,,2,2,60,55,1,44,44,8.55153178795331
7321866,1,3,1,2,,2,,2,,,,2,2,60,42,1,52,52,17.5112912173535
7321882,1,2,1,2,,1,,2,,,,2,2,24,38,1,54,54,33.6038774540771
7321893,1,1,2,1,2,1,1300000,2,,2,,2,2,36,28,1,63,63,17.8597806177929
7321893,1,1,1,1,2,2,1300000,2,,2,,2,2,36,33,1,63,63,17.8597806177929
7321929,1,1,1,1,2,1,1000000,2,,2,,2,2,24,40,1,66,66,24.2204342069632
7321946,1,1,1,3,,2,,2,,,,2,2,240,41,1,66,66,16.1369074369166
7321978,1,1,1,3,,1,,2,,,,2,2,18,40,1,68,"",40.8749415685636
7322019,1,1,1,1,2,2,1565000,1,330000,2,,1,2,2,30,1,68,68,29.5338031328806
7322019,1,1,2,1,2,2,1565000,1,330000,2,,1,2,2,58,1,68,68,29.5338031328806
7322096,1,2,1,2,,1,,2,,,,2,2,84,50,1,76,76,112.074277632428
7322148,1,1,1,2,,1,,2,,,,2,2,120,30,1,88,88,1.44749518607185
7322150,1,1,1,1,2,1,800000,2,,2,,2,2,60,58,1,88,88,4.20004228623481
7322165,1,1,1,1,2,1,1000000,2,,2,,2,2,24,35,1,88,88,3.06045958099231
7322166,1,1,1,1,2,1,1500000,2,,2,,2,2,12,30,1,88,88,2.32536349098092
7322203,1,1,1,3,,2,,2,,,,2,2,48,37,2,08,"",3.72751828096975
7322203,1,1,2,3,,1,,2,,,,2,2,12,16,2,08,"",3.72751828096975
7322318,1,1,1,3,,2,,2,,,,2,2,3,18,1,68,"",117.046963252827
7322318,1,1,2,3,,2,,2,,,,2,2,3,25,1,68,"",117.046963252827
7322324,1,1,3,1,2,1,1000000,1,330000,1,1007130,1,1,10,34,1,68,"",60.935810992748
7322324,1,1,1,3,,2,,2,,,,2,2,288,39,1,68,"",60.935810992748
7322324,1,1,2,1,2,1,1000000,1,330000,1,1007130,1,1,12,39,1,68,"",60.935810992748
7322324,1,1,4,1,2,2,1000000,1,330000,1,1007130,1,1,12,28,1,68,"",60.935810992748
7322324,1,1,5,1,2,2,1000000,1,330000,1,1007130,1,1,36,44,1,68,"",60.935810992748
7322324,1,1,1,1,2,1,1000000,1,330000,1,1007130,1,1,12,32,1,68,"",60.935810992748
7322326,1,3,1,3,,2,,2,,,,2,2,180,48,1,68,"",54.5881079231286
7322327,1,1,1,1,2,1,900000,2,,2,,2,2,3,18,1,68,"",59.9305536464534
7322333,1,2,1,3,,2,,2,,,,2,2,72,58,1,68,"",98.9028465453083
7322354,1,2,1,1,2,1,912831,2,,2,,2,2,48,28,1,76,"",272.805392916064
7322354,1,2,2,1,2,1,912831,2,,2,,2,2,60,52,1,76,"",272.805392916064
7322449,1,1,1,3,,1,,2,,,,2,2,38,21,2,23,"",159.92734799274
7322456,1,1,1,3,,2,,2,,,,2,2,108,28,2,23,"",152.781141235398
7322456,1,1,2,3,,1,,2,,,,2,2,25,18,2,23,"",152.781141235398
7322456,1,1,3,3,,1,,2,,,,2,2,13,14,2,23,"",152.781141235398
7322456,1,1,4,3,,1,,2,,,,2,2,4,10,2,23,"",152.781141235398
7322456,1,2,1,3,,1,,2,,,,2,2,70,42,2,23,"",152.781141235398
7322456,1,2,2,3,,1,,2,,,,2,2,24,18,2,23,"",152.781141235398
7322456,1,2,3,3,,1,,2,,,,2,2,12,14,2,23,"",152.781141235398
7322456,1,2,4,3,,1,,2,,,,2,2,4,10,2,23,"",152.781141235398
7322463,1,1,1,3,,1,,2,,,,2,2,12,11,2,23,"",173.530816326411
7322541,1,3,1,1,2,1,800000,2,,2,,2,2,1,40,1,05,05,98.552986118897
7322545,1,1,1,2,,1,,2,,,,2,2,120,60,1,05,05,78.8402536240574
7322590,1,1,1,3,,1,,2,,,,2,2,18,25,1,08,08,52.5445694598196
7322592,1,1,1,3,,2,,2,,,,2,2,72,39,1,08,08,42.9547087100869
7322641,1,1,1,2,,1,,2,,,,2,2,240,40,1,13,13,20.9000582433189
7322651,1,1,1,2,,1,,2,,,,2,2,60,25,1,13,13,30.7142448676077
7322653,1,1,1,3,,2,,2,,,,2,2,120,27,1,13,13,29.1766863415775
7322669,1,3,1,1,2,1,900000,2,,2,,2,2,24,998,1,13,13,45.291483751139
7322670,1,1,1,1,2,1,746835,2,,2,,2,2,12,30,1,13,13,49.8119048950151
7322677,1,1,2,1,1,2,400000,2,,2,,2,2,24,21,1,13,13,24.4021509607374
7322677,1,1,1,1,1,1,400000,2,,2,,2,2,24,28,1,13,13,24.4021509607374
7322700,1,2,1,2,,2,,2,,,,2,2,6,50,1,15,15,8.49433501098915
7322727,1,1,1,2,,2,,2,,,,2,2,120,55,1,15,15,9.62355376873567
7322817,1,2,1,2,,1,,2,,,,2,2,49,33,1,18,18,16.8693562836088
7322836,1,3,1,2,,2,,2,,,,2,2,21,46,1,18,18,7.45317772387076
7322862,1,1,1,3,,2,,2,,,,2,2,240,37,1,19,19,21.3254802467763
7322879,1,1,1,1,2,1,1500000,2,,2,,2,2,36,30,1,19,19,18.454581741568
7322892,1,1,1,1,2,1,960000,2,,2,,2,2,24,39,1,19,19,12.9305316585633
7322904,1,1,1,1,2,1,1040000,2,,2,,2,2,2,32,1,19,19,14.8051744227632
7322916,1,1,2,1,2,2,720000,2,,2,,2,2,3,32,1,19,19,11.4032081875123
7322916,1,1,1,1,2,2,720000,2,,2,,2,2,2,36,1,19,19,11.4032081875123
7322930,1,2,1,3,,1,,2,,,,2,2,84,43,1,20,20,16.0019693977701
7323021,1,1,1,3,,1,,2,,,,2,2,112,38,1,27,27,3.59526513536756
7323031,1,1,1,2,,1,,2,,,,2,2,120,55,1,27,27,5.61701597368037
7323060,1,1,1,2,,1,,2,,,,2,2,60,21,1,41,41,7.5267889886389
7323061,1,1,1,2,,1,,2,,,,2,2,96,57,1,41,41,10.3752322145293
7323076,1,1,1,1,1,1,1200000,2,,2,,2,2,60,60,1,41,41,14.9199733627592
7323086,1,1,1,3,,1,,2,,,,2,2,60,19,1,44,44,7.00173718329759
7323139,1,1,1,3,,2,,2,,,,2,2,48,53,1,47,47,21.5166729673542
7323156,1,1,1,1,1,1,1200000,1,100000,1,1200000,1,1,85,43,1,50,50,15.0321719372158
7323156,1,1,3,1,1,1,1200000,1,100000,1,1200000,1,1,49,35,1,50,50,15.0321719372158
7323156,1,1,2,1,1,1,1200000,1,100000,1,1200000,1,1,61,40,1,50,50,15.0321719372158
7323249,1,2,1,1,2,1,1100000,2,,2,,2,2,3,45,1,54,54,22.1395490664872
7323249,1,2,2,1,2,1,1100000,2,,2,,2,2,3,20,1,54,54,22.1395490664872
7323269,1,1,1,1,2,2,1050000,2,,2,,2,2,3,40,1,54,54,21.5525263286858
7323269,1,1,2,1,2,1,1050000,2,,2,,2,2,5,22,1,54,54,21.5525263286858
7323270,1,1,1,3,,2,,2,,,,2,2,96,30,1,54,54,31.9670897392592
7323282,1,1,1,1,1,1,1160000,1,237800,2,,1,1,12,99,1,54,54,52.515945716806
7323289,1,2,1,3,,2,,2,,,,2,2,96,65,1,54,54,29.1039374372406
7323289,1,2,1,1,2,2,980000,2,,2,,2,2,3,42,1,54,54,29.1039374372406
7323289,1,2,2,1,2,2,840000,2,,2,,2,2,3,22,1,54,54,29.1039374372406
7323316,1,1,2,1,2,2,1700000,2,,2,,2,2,18,35,1,54,54,33.510426247829
7323316,1,1,1,1,2,1,1700000,2,,2,,2,2,7,16,1,54,54,33.510426247829
7323355,1,1,1,3,,2,,2,,,,2,2,48,55,1,63,63,10.9732339646065
7323363,1,1,1,1,2,1,1144186,1,337593,2,,1,2,36,40,1,63,63,10.7293843209486
7323474,1,1,1,1,2,1,1200000,2,,2,,2,2,2,38,1,68,"",21.1474912790288
7323474,1,1,2,1,2,1,1600000,2,,2,,2,2,2,34,1,68,"",21.1474912790288
7323477,1,1,1,3,,1,,2,,,,2,2,108,33,1,68,68,26.3523664399423
7323488,1,1,1,1,2,2,700000,2,,2,,2,2,12,50,1,68,68,17.5330130892862
7323488,1,1,1,2,,1,,2,,,,2,2,12,40,1,68,68,17.5330130892862
7323495,1,1,1,1,2,2,400000,2,,2,,2,2,8,48,1,68,68,35.3863053010001
7323501,1,1,1,1,2,1,1100000,2,,2,,2,2,2,63,1,68,68,30.4056661836531
7323501,1,1,2,1,2,1,1100000,2,,2,,2,2,2,54,1,68,68,30.4056661836531
7323567,1,1,1,1,2,1,700000,2,,2,,2,2,20,25,1,68,68,27.9679275267761
7323567,1,1,1,3,,1,,2,,,,2,2,30,32,1,68,68,27.9679275267761
7323606,1,1,1,1,2,1,1300000,1,237800,2,,1,2,6,25,1,73,73,18.6624659028911
7323606,1,1,1,3,,1,,2,,,,2,2,108,50,1,73,73,18.6624659028911
7323607,1,1,1,3,,2,,2,,,,2,2,246,48,1,73,73,21.8474652981497
7323607,1,1,2,3,,1,,2,,,,2,2,24,19,1,73,73,21.8474652981497
7323609,1,1,1,3,,2,,3,145000,,,1,2,3,43,1,73,73,19.8056765498163
7323609,1,2,1,1,2,2,1300000,1,250000,1,913934,1,2,24,35,1,73,73,19.8056765498163
7323609,1,2,2,1,2,1,1300000,1,250000,2,,1,2,10,23,1,73,73,19.8056765498163
7323609,1,2,1,3,,1,,2,,,,2,2,48,28,1,73,73,19.8056765498163
7323617,1,1,1,1,2,2,600000,2,,2,,2,2,1,32,1,73,73,24.9592077540382
7323713,1,1,1,1,1,1,0,2,,2,,2,2,4,18,1,88,88,2.60996683174612
7323714,1,1,1,3,,1,,1,336000,,,1,2,120,28,1,88,88,2.2672294037064
7323729,1,2,1,1,1,2,1600000,1,296000,1,1600000,1,1,216,53,1,88,88,2.70000190430442
7323760,1,1,1,3,,2,,2,,,,2,2,120,48,1,13,"",303.867244495194
7323775,1,1,1,2,,1,,2,,,,2,2,60,33,2,13,"",117.849841526812
7323780,1,1,1,2,,1,,2,,,,2,2,252,43,2,13,"",122.37929330022
7323781,1,1,1,2,,1,,2,,,,2,2,24,48,2,13,"",129.30662150746
7323782,1,1,1,1,2,1,105000,2,,2,,2,2,3,40,2,13,"",129.634825679493
7323782,1,1,2,1,2,1,105000,2,,2,,2,2,2,36,2,13,"",129.634825679493
7323782,1,1,3,1,2,1,105000,2,,2,,2,2,2,46,2,13,"",129.634825679493
7323861,1,1,1,3,,1,,2,,,,2,2,24,18,2,70,"",74.4582267155283
7323927,1,1,1,3,,1,,2,,,,2,2,120,46,2,70,"",72.4302464735208
7323947,1,2,1,3,,1,,2,,,,2,2,120,48,2,70,"",94.0035608034335
7324004,1,1,1,2,,1,,2,,,,2,2,24,42,2,70,"",70.3639420286989
7324068,1,1,1,2,,2,,2,,,,2,2,96,35,2,70,"",77.4757749109032
7324088,1,1,1,3,,2,,2,,,,2,2,4,30,1,70,"",62.2080019997546
7324120,1,1,1,2,,2,,2,,,,2,2,84,64,2,25,"",266.231134555331
7324125,1,1,1,1,2,1,600000,2,,2,,2,2,18,26,2,15,"",12.4615815699847
7324134,1,1,1,1,2,1,500000,2,,2,,2,2,12,39,2,15,"",139.243669086616
7324135,1,1,1,1,2,1,750000,2,,2,,2,2,12,40,2,15,"",202.413105842166
7324135,1,1,1,2,,1,,2,,,,2,2,24,18,2,15,"",202.413105842166
7324135,1,1,2,1,2,1,750000,2,,2,,2,2,12,45,2,15,"",202.413105842166
7324142,1,2,1,3,,1,,2,,,,2,2,6,50,1,15,"",102.117523788204
7324144,1,2,1,1,2,1,2000000,2,,2,,2,2,18,30,1,15,"",87.074308680724
7324181,1,1,1,1,2,2,1300000,2,,2,,2,2,48,46,2,15,"",80.1629812907274
7324181,1,1,2,1,2,1,1300000,2,,2,,2,2,12,36,2,15,"",80.1629812907274
7324181,1,1,3,1,2,1,1300000,2,,2,,2,2,12,34,2,15,"",80.1629812907274
7324181,1,1,4,1,2,1,1300000,2,,2,,2,2,18,31,2,15,"",80.1629812907274
7324181,1,1,5,1,2,1,1300000,2,,2,,2,2,3,26,2,15,"",80.1629812907274
7324191,1,1,1,3,,1,,2,,,,2,2,78,39,2,15,"",163.106006379339
7324205,1,1,1,1,2,2,600000,2,,2,,2,2,24,47,1,15,"",398.857429953102
7324224,1,1,1,3,,2,,2,,,,2,2,14,47,1,68,"",87.9239533818075
7324316,1,1,1,2,,1,,2,,,,2,2,12,38,2,66,"",57.7074015555487
7324316,1,2,1,3,,2,,2,,,,2,2,12,20,2,66,"",57.7074015555487
7324324,1,1,1,3,,2,,2,,,,2,2,500,47,2,66,"",37.6297650492997
7324355,1,2,1,3,,1,,2,,,,2,2,48,23,2,66,"",37.3223561830486
7324368,1,1,3,1,2,2,830000,2,,2,,2,2,60,37,1,05,"",223.622988131578
7324368,1,1,1,1,1,1,1200000,1,260660,1,1007130,1,1,24,28,1,05,"",223.622988131578
7324368,1,1,2,1,1,1,1200000,1,260660,1,1007130,1,1,96,48,1,05,"",223.622988131578
7324370,1,2,1,1,2,1,1100000,2,,2,,2,2,52,30,1,05,"",342.552972614452
7324404,1,1,1,2,,1,,2,,,,2,2,60,30,2,05,"",288.471918530176
7324444,1,1,1,1,2,1,500000,2,,2,,2,2,32,45,2,05,"",84.0509835266967
7324449,1,2,1,2,,2,,2,,,,2,2,25,35,2,05,"",74.0255438548319
7324451,1,2,1,2,,1,,2,,,,2,2,36,30,2,05,"",104.177824761859
7324451,1,2,1,3,,1,,2,,,,2,2,13,17,2,05,"",104.177824761859
7324494,1,1,1,3,,2,,2,,,,2,2,999,22,1,23,"",164.104389748629
7324494,1,1,2,3,,2,,2,,,,2,2,999,24,1,23,"",164.104389748629
7324505,1,1,1,1,2,1,60000,2,,2,,2,2,10,18,2,23,"",109.177256821556
7324505,1,1,2,1,2,1,30000,2,,2,,2,2,10,18,2,23,"",109.177256821556
7324552,1,1,1,1,2,1,1200000,1,250000,2,,1,2,500,30,1,05,"",28.9503329974629
7324552,1,1,1,2,,1,,1,350000,,,1,2,120,50,1,05,"",28.9503329974629
7324599,1,2,1,1,1,2,1200000,1,250000,2,,1,2,24,26,1,05,"",31.4839146865905
7324613,1,1,3,1,2,2,1300000,1,260660,2,,1,1,18,26,1,05,05,300.542849648446
7324613,1,1,1,1,2,2,1300000,1,260660,2,,1,1,24,32,1,05,05,300.542849648446
7324613,1,1,2,1,2,2,1300000,1,260660,2,,1,1,8,28,1,05,05,300.542849648446
7324628,1,1,3,1,2,2,1190857,1,251082,1,1473750,1,1,15,33,1,05,05,65.0436904363428
7324628,1,1,2,1,2,2,1190857,1,251082,1,1473750,1,1,18,25,1,05,05,65.0436904363428
7324628,1,1,1,1,2,1,1190857,1,251082,1,1473750,1,1,18,37,1,05,05,65.0436904363428
7324673,1,1,1,1,2,2,600000,2,,2,,2,2,24,29,1,05,05,99.2291095609631
7324673,1,5,1,3,,2,,2,,,,2,2,24,40,1,05,05,99.2291095609631
7324682,1,1,1,2,,2,,2,,,,2,2,18,35,1,05,05,92.4078831072514
7324751,1,1,1,1,2,2,1200000,1,340000,2,,1,1,240,50,1,08,08,90.5133425088678
7324751,1,1,2,1,2,1,2000000,1,340000,2,,1,1,24,55,1,08,08,90.5133425088678
7324771,1,1,1,2,,2,,2,,,,2,2,36,43,1,08,08,133.969365838828
7324779,1,1,1,2,,1,,1,330000,,,2,2,20,42,1,08,08,115.087875880892
7324788,1,1,1,1,2,1,700000,2,,2,,2,2,12,46,1,08,08,75.2760210914855
7324806,1,4,2,1,2,1,700000,2,,2,,2,2,12,28,1,08,08,29.1612767588432
7324806,1,4,1,1,2,1,700000,2,,2,,2,2,12,37,1,08,08,29.1612767588432
7324809,1,1,1,1,2,1,1800000,2,,2,,2,2,120,45,1,08,08,40.2998287330354
7324809,1,1,2,1,2,1,1800000,2,,2,,2,2,120,40,1,08,08,40.2998287330354
7324809,1,1,4,1,2,1,1200000,2,,2,,2,2,96,25,1,08,08,40.2998287330354
7324809,1,1,3,1,2,1,1800000,2,,2,,2,2,120,38,1,08,08,40.2998287330354
7324818,1,1,2,1,2,1,800000,2,,2,,2,2,12,40,1,08,08,57.7575638518693
7324818,1,1,1,1,2,1,800000,2,,2,,2,2,12,55,1,08,08,57.7575638518693
